2016-11-06 02:39:04,116 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2016-11-06 02:39:04,117 [main] INFO  marytts.SSMLParser Starting power-on self test.
2016-11-06 02:39:04,117 [main] INFO  marytts.SSMLParser Power-on self test complete.
2016-11-06 02:39:04,393 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2016-11-06 02:39:04,393 [main] INFO  marytts.APMLParser Starting power-on self test.
2016-11-06 02:39:04,393 [main] INFO  marytts.APMLParser Power-on self test complete.
2016-11-06 02:39:04,585 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2016-11-06 02:39:04,586 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2016-11-06 02:39:04,587 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2016-11-06 02:39:04,587 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2016-11-06 02:39:04,646 [main] INFO  marytts.JTokeniser Starting power-on self test.
2016-11-06 02:39:04,646 [main] INFO  marytts.JTokeniser Power-on self test complete.
2016-11-06 02:39:04,647 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2016-11-06 02:39:04,647 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2016-11-06 02:39:04,647 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2016-11-06 02:39:04,665 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2016-11-06 02:39:04,665 [main] INFO  marytts.Prosody Starting power-on self test.
2016-11-06 02:39:04,665 [main] INFO  marytts.Prosody Power-on self test complete.
2016-11-06 02:39:04,666 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2016-11-06 02:39:04,666 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2016-11-06 02:39:04,666 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2016-11-06 02:39:04,666 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2016-11-06 02:39:04,667 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2016-11-06 02:39:04,667 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2016-11-06 02:39:04,667 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2016-11-06 02:39:04,667 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2016-11-06 02:39:04,668 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2016-11-06 02:39:04,668 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2016-11-06 02:39:04,668 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2016-11-06 02:39:04,669 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2016-11-06 02:39:04,669 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
